HyperLink,text,Source - Website,date,sentiment
https://x.com/J_Liana_/status/1815569043698413733,crumbl cookies look so f******g nasty i need you guys to be fr rn,Twitter,7/18/24,negative
https://x.com/BIGc293005/status/1815568137674265050,Crumbl cookie is torture,Twitter,7/18/24,negative
https://x.com/marielamichhh/status/1815567782781833451,"These crumbl cookie videos make me wanna throw up, makes me not even want to try it.",Twitter,7/18/24,negative
https://x.com/amoooourr/status/1815565865787490582,LUCKY LUCKY LUCKY ITS CRUMBL COOKIE,Twitter,7/18/24,positive
https://x.com/kayswrldx/status/1815563438036271412,crumbl literally moaning my name rn,Twitter,7/18/24,negative
https://x.com/chelseaariellee/status/1815553953049780509,I really wanna try crumbl cookies 🍪,Twitter,7/18/24,neutral
https://x.com/kenzzbaae/status/1815550753055920476,"crumbl cookies is disgusting, I’m starting to think y’all buying them just for pictures then throwing them away immediately after.😩😂😂",Twitter,7/18/24,negative
https://x.com/capypowell/status/1815546907730829340,I think a chocolate chip cookie from Crumbl would solve all my problems rn,Twitter,7/19/24,positive
https://x.com/girloomf2/status/1815541514480550093,some of these crumbl cookies actually look good asfk where’s the nearest one im GOING,Twitter,7/19/24,positive
https://x.com/deniceeegl/status/1815537117029908911,Crumbl cookieeee so fire😛,Twitter,7/19/24,positive
https://x.com/RichardR95/status/1815536098103173402,Fuck crumbl,Twitter,7/19/24,negative
https://x.com/Liminal_Alienzz/status/1815534828290195643,Controversial opinion but Crumbl cookies are nasty and i dont understand why anyone would buy them,Twitter,7/19/24,negative
https://x.com/11Lovebunny11/status/1815532138235850897,i hate my job fuck crumbl cookie,Twitter,7/19/24,negative
https://x.com/sarahluvsgirls/status/1815530276191412255,crumbl cookies are a**!!!!!!!!!!!!!!!,Twitter,7/20/24,negative
https://x.com/CryptiicCutie/status/1815528338703741363,"having tried crumbl twice now, it's mid I'm ngl. $30 for 6 mid cookies?? they look pretty and all but damn",Twitter,7/20/24,neutral
https://x.com/chloeislame123/status/1815524111449506172,crumbl just… isn’t that good,Twitter,7/20/24,negative
https://x.com/giraffley/status/1815519773536444511,I do not like crumbl,Twitter,7/20/24,negative
https://x.com/jblevzzz/status/1815513868157812980,The ppl saying crumbl cookies fire NA WTF🤢,Twitter,7/20/24,negative
https://x.com/St_Stephan91/status/1815512401850110071,Rather eat playdoh than Crumbl. They the same anyways,Twitter,7/20/24,neutral
https://x.com/miZs_jAZZy/status/1815512347105993060,I probably had the best cookie of my life at crumbl cookie this past weekend 🥹 first timer too and I didn’t have high expectations.,Twitter,7/20/24,neutral
https://x.com/hoesiahhh/status/1815508574488924264,craving crumbl cookie so bad im boutta s*** my self out for a box i stg,Twitter,7/20/24,negative
https://x.com/ZephyraSage/status/1815504583378227476,Idk how people can eat ONE crumbl cookie. They don't even taste good. Not even worth the massive amount of calories.,Twitter,7/20/24,negative
https://x.com/andreaac1998/status/1815503639374676133,Crumbl cookies are trash 🚮 I will only have crumbl if they’re free hehe,Twitter,7/20/24,negative
https://x.com/MAMAKAII_/status/1815490722843492399,I need crumbl cookies😭😭😭😭 I’m addicted atp,Twitter,7/21/24,neutral
https://x.com/Aleah_tg/status/1815478011103227958,"I think I’ve been converted, Crumbl may actually be better than Insomnia 🫣",Twitter,7/21/24,positive
https://x.com/HollywoodTrigga/status/1815476526374064184,Y’all sleep on Crumbl! That shìt good as f***,Twitter,7/21/24,positive
https://x.com/peechbloom/status/1815472006902772006,crumbl cookies are so gross idk how ppl enjoy them 😭,Twitter,7/21/24,positive
https://x.com/baddieelisa/status/1815465607552528878,Crumbl cookie so nasty and overrated,Twitter,7/21/24,negative
https://x.com/nataliaaxrose/status/1815456856200147338,I wanna eat a Crumbl Cookie soooo bad,Twitter,7/21/24,negative
https://x.com/alexustee/status/1815455713998569769,"crumbl can keep them big a**, overly sweet, dry a** cookies!",Twitter,7/22/24,positive
https://x.com/godidkok/status/1815435198835945730,The one from crumbl is saurrrr good,Twitter,7/22/24,positive
https://x.com/14stkiss/status/1815433936043925814,while we’re on the subject of food crumbl is SO overrated the cookies undercooked…,Twitter,7/22/24,negative
https://x.com/x3princessa/status/1815429237639442730,I’ve never had crumbl cookies till today and let’s just say I’m glad this wasn’t my money spent….,Twitter,7/22/24,positive
https://x.com/dronevibess/status/1815419019555746287,crumbl cookies just might be the new supreme. insomnia i am so sorry,Twitter,7/22/24,negative
https://x.com/GamerJsun/status/1814062974354509865,"I hope you know how much I love. @crumble, in the rain, we still Crumbl!",Twitter,7/23/24,positive
